,objective
450,667.9054556250396
451,667.6048176066349
452,667.2726435160148
453,666.967169647325
454,666.763365331138
455,666.5873986281699
456,666.4024531053788
457,666.193688338795
458,665.9536595754751
459,665.677261249798
460,665.3485109096731
461,664.9350341627882
462,664.3953520684904
463,663.698603200112
464,662.8463792744765
465,661.8844033930206
466,660.8859462759445
467,659.9081269499916
468,659.0056763023822
469,658.2972949547031
470,657.8485539479173
471,657.4760515905025
472,657.1067898190354
473,656.7466950350952
474,656.4512466336032
475,656.1815599827113
476,655.8812356152503
477,655.566895973278
478,655.2611512691817
479,654.9506173834836
480,654.6005493464529
481,654.1872689245885
482,653.7183662596127
483,653.2170524562684
484,652.7037955697198
485,652.1933567444905
486,651.7035795024894
487,651.2624341562682
488,650.8963273271142
489,650.6112030147794
490,650.3760432255972
491,650.1613647618663
492,649.9604164305736
493,649.7778078741233
494,649.6144603438078
495,649.4586722955542
496,649.2964782908107
497,649.1212626823233
498,648.9317778130235
499,648.7298450307662
500,648.5170388427916
501,648.294746847985
502,648.0686197251081
503,647.8532595035781
504,647.6605003280952
505,647.4841830814681
506,647.3125999752542
507,647.1342875894576
508,646.93790124109
509,646.7137798991882
510,646.4640566083992
511,646.217791677248
512,646.0092090079268
513,645.8294080603844
514,645.6653492096016
515,645.5097173954928
516,645.3527477823593
517,645.1815637762745
518,644.9859705785309
519,644.7601762279853
520,644.5014560476176
521,644.2082116864597
522,643.8813619953257
523,643.5257962889821
524,643.1469876634741
525,642.7594789852418
526,642.3924434576204
527,642.0694785325081
528,641.792010856753
529,641.5494802763167
530,641.320880144556
531,641.0790391824485
532,640.8046581959675
533,640.4934687281134
534,640.1611612587877
535,639.8495151540317
536,639.6136232239617
537,639.4292067994813
538,639.2531348595105
539,639.0770473239883
